commune,third_sector_job_score,building_score,demographie_score,restau_score,third_sector_establishment_score,total
Anières,0.11545186166541986,8.394088294252214,3.030378798098069,0.40768736248863074,3.139087167102613,15.086693483606947
Bern,0.08658253346467416,7.319403016198034,6.458877156591642,0.16985611188106695,1.0494204350236804,15.084139253159098
Romainmôtier-Envy,0.1226106358426705,7.221414895675952,3.0255374896954006,0.3108388948003351,4.3962810362991664,15.076682952313526
Soral,0.08586961720042796,7.072712064441672,3.115132764008214,0.0,4.734969168792838,15.00868361444315
Dompierre (VD),0.16261597348082196,7.441917671218204,3.02458268964796,0.0,4.375206701343317,15.004323035690302
Vallon,0.08635276916522709,7.249616155022952,3.0888364299084854,0.0,4.575659048281557,15.000464402378224
Chessel,0.2332541219986254,7.2673568477467265,3.0963032653389435,0.0,4.3848391372254225,14.981753372309718
Missy,0.08487789978580201,7.210718781798982,3.0049365252123117,0.0,4.666576696654221,14.967109903451316
Genève,0.07964605325735559,7.964310712453088,4.643673611223484,0.9481171098269997,1.3262722874807005,14.962019774241627
Semsales,0.15443355641925027,7.823217886598484,3.1642741457495576,0.0,3.816500391860215,14.958425980627506
Guttet-Feschel,0.19679582840045365,7.515406174611133,3.004931870933803,0.0,4.240348616681949,14.957482490627338
Trient,0.21620194371633064,7.365153098407055,3.0162143064519933,0.2866235240965182,4.051395791732541,14.935588664404438
Tecknau,0.2007562059580229,7.407348273845246,2.9305802293207397,0.0,4.390195209507242,14.928879918631251
Cossonay,0.1448746998579553,8.312396024082354,3.9386306139960996,0.0541306119278402,2.468979705177556,14.919011655041805
Vétroz,0.1855757121884957,6.952725598375998,3.349069355376588,1.4734538500360517,2.949330831561446,14.91015534753858
Haute-Sorne,0.12750194332046635,7.528797264587847,3.475197328037251,1.2230874629583437,2.5516383931498936,14.9062223920538
Vevey,0.06214691894213335,7.274366776887883,4.701677281598825,1.4786804624571954,1.354853651054835,14.87172509094087
Les Ponts-de-Martel,0.19188295902291758,7.509916709082346,2.9231800122037197,0.433077524638437,3.792602650767196,14.850659855714618
Bodio,0.0,8.952598194367393,3.027903875313614,0.0,2.853689365021314,14.834191434702321
Rumisberg,0.033120216463783415,7.455101700721587,2.987573301169286,0.0,4.345106205573301,14.820901423927957
Zullwil,0.1598094411056585,7.43432989355149,3.019151774882543,0.0,4.201278521613881,14.814569631153573
Senarclens,0.16662578527507652,7.550311063428451,3.018257885215474,0.0,4.050317733391171,14.785512467310173
Niedermuhlern,0.14814274680718872,7.403975716829338,3.0294231089688095,0.0,4.189251922868598,14.770793495473933
La Tour-de-Peilz,0.054095443672400524,7.815153107115608,3.9822136549908826,0.8163720644279338,2.1002372757722934,14.768071545979119
